기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.11.18.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.19.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.20.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.21.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.22.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.23.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.24.,2,2,0,2,0,100,0,0,70,0,70,0,0,0,0
2023.11.25.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.26.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.27.,1,1,0,1,0,100,0,0,70,0,70,0,0,0,0
2023.11.28.,1,1,0,1,0,100,0,0,70,0,70,0,0,0,0
2023.11.29.,1,1,0,2,0,100,0,0,70,0,70,0,0,0,0
2023.11.30.,2,1,1,2,0,50,50,0,70,0,70,0,0,0,0
2023.12.01.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.12.02.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.12.03.,2,0,2,2,0,0,100,0,70,0,70,0,0,0,0
2023.12.04.,1,1,0,1,0,100,0,0,70,0,70,0,0,0,0
2023.12.05.,1,1,0,1,0,100,0,1,71,1,71,0,0,0,0
2023.12.06.,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0
2023.12.07.,2,2,0,2,0,100,0,1,72,1,72,0,0,0,0
2023.12.08.,0,0,0,0,0,0,0,0,72,0,72,0,0,0,0
2023.12.09.,0,0,0,0,0,0,0,0,72,0,72,0,0,0,0
2023.12.10.,0,0,0,0,0,0,0,0,72,0,72,0,0,0,0
2023.12.11.,0,0,0,0,0,0,0,2,74,2,74,0,0,0,0
2023.12.12.,0,0,0,0,0,0,0,1,75,1,75,0,0,0,0
2023.12.13.,2,1,1,2,0,50,50,2,77,2,77,0,0,0,0
2023.12.14.,2,1,1,3,0,50,50,2,79,2,79,0,0,0,0
2023.12.15.,2,2,0,2,0,100,0,1,80,1,80,0,0,0,0
2023.12.16.,2,2,0,3,1,100,0,2,82,2,82,0,0,0,0
2023.12.17.,2,0,2,2,0,0,100,2,84,2,84,0,0,0,0
2023.12.18.,3,0,3,3,0,0,100,2,86,2,86,0,0,0,0
