기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.10.18.,2,2,0,2,0,100,0,0,67,0,67,0,0,0,0
2023.10.19.,1,0,1,1,0,0,100,0,67,0,67,0,0,0,0
2023.10.20.,1,1,0,1,0,100,0,0,67,0,67,0,0,0,0
2023.10.21.,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0
2023.10.22.,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0
2023.10.23.,2,1,1,2,0,50,50,0,67,0,67,0,0,0,0
2023.10.24.,3,1,2,3,0,33.33333333333333,66.66666666666666,1,68,1,68,0,0,0,0
2023.10.25.,1,1,0,1,0,100,0,0,68,0,68,0,0,0,0
2023.10.26.,1,1,0,1,0,100,0,0,68,0,68,0,0,0,0
2023.10.27.,2,0,2,2,0,0,100,0,68,0,68,0,0,0,0
2023.10.28.,1,0,1,1,0,0,100,0,68,0,68,0,0,0,0
2023.10.29.,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0
2023.10.30.,1,0,1,1,0,0,100,0,68,0,68,0,0,0,0
2023.10.31.,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0
2023.11.01.,2,2,0,2,0,100,0,1,69,1,69,0,0,0,0
2023.11.02.,1,0,1,1,0,0,100,0,69,0,69,0,0,0,0
2023.11.03.,1,0,1,1,0,0,100,0,69,0,69,0,0,0,0
2023.11.04.,1,1,0,1,0,100,0,0,69,0,69,0,0,0,0
2023.11.05.,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0
2023.11.06.,2,0,2,3,1,0,100,0,69,0,69,0,0,0,0
2023.11.07.,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0
2023.11.08.,2,1,1,3,0,50,50,0,69,0,69,0,0,0,0
2023.11.09.,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0
2023.11.10.,1,1,0,1,0,100,0,0,69,0,69,0,0,0,0
2023.11.11.,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0
2023.11.12.,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0
2023.11.13.,1,1,0,1,0,100,0,0,69,0,69,0,0,0,0
2023.11.14.,0,0,0,0,0,0,0,1,70,1,70,0,0,0,0
2023.11.15.,1,0,1,1,0,0,100,0,70,0,70,0,0,0,0
2023.11.16.,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0
2023.11.17.,1,1,0,1,0,100,0,0,70,0,70,0,0,0,0
