기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.02.19.,2,0,2,2,0,0,100,2,180,2,180,0,0,0,0
2024.02.20.,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0
2024.02.21.,3,1,2,3,0,33.33333333333333,66.66666666666666,1,181,1,181,0,0,0,0
2024.02.22.,3,1,2,3,0,33.33333333333333,66.66666666666666,3,184,3,184,0,0,0,0
2024.02.23.,3,0,3,3,0,0,100,3,187,3,187,0,0,0,0
2024.02.24.,1,0,1,1,0,0,100,2,189,2,189,0,0,0,0
2024.02.25.,1,0,1,1,0,0,100,2,191,2,191,0,0,0,0
2024.02.26.,3,1,2,3,0,33.33333333333333,66.66666666666666,2,193,2,193,0,0,0,0
2024.02.27.,3,1,2,4,1,33.33333333333333,66.66666666666666,0,193,0,193,0,0,0,0
2024.02.28.,6,2,4,8,0,33.33333333333333,66.66666666666666,6,199,6,199,0,0,0,0
2024.02.29.,2,0,2,2,0,0,100,2,201,2,201,0,0,0,0
2024.03.01.,2,0,2,2,0,0,100,3,204,3,204,0,0,0,0
2024.03.02.,2,0,2,2,1,0,100,1,205,1,205,0,0,0,0
2024.03.03.,0,0,0,0,0,0,0,0,205,0,205,0,0,0,0
2024.03.04.,5,1,4,5,0,20,80,1,206,1,206,0,0,0,0
2024.03.05.,0,0,0,0,0,0,0,0,206,0,206,0,0,0,0
2024.03.06.,4,2,2,5,1,50,50,0,206,0,206,0,0,0,0
2024.03.07.,2,0,2,2,0,0,100,6,212,6,212,0,0,0,0
2024.03.08.,3,3,0,4,0,100,0,2,214,2,214,0,0,0,0
2024.03.09.,1,0,1,1,0,0,100,1,215,1,215,0,0,0,0
2024.03.10.,3,0,3,3,0,0,100,2,217,2,217,0,0,0,0
2024.03.11.,2,0,2,2,1,0,100,3,220,3,220,0,0,0,0
2024.03.12.,1,0,1,1,0,0,100,0,220,0,220,0,0,0,0
2024.03.13.,1,1,0,1,0,100,0,1,221,1,221,0,0,0,0
2024.03.14.,8,6,2,9,1,75,25,2,223,2,223,0,0,0,0
2024.03.15.,4,4,0,5,0,100,0,2,225,2,225,0,0,0,0
2024.03.16.,4,1,3,4,0,25,75,1,226,1,226,0,0,0,0
2024.03.17.,1,0,1,1,0,0,100,0,226,0,226,0,0,0,0
2024.03.18.,4,1,3,4,1,25,75,4,230,4,230,0,0,0,0
2024.03.19.,3,0,3,3,0,0,100,5,235,5,235,0,0,0,0
