기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.04.20.,2,0,2,2,0,0,100,0,282,0,282,0,0,0,0
2024.04.21.,4,1,3,5,1,25,75,3,285,3,285,0,0,0,0
2024.04.22.,5,2,3,5,0,40,60,2,287,2,287,0,0,0,0
2024.04.23.,4,1,3,5,1,25,75,4,291,4,291,0,0,0,0
2024.04.24.,3,0,3,3,0,0,100,3,294,3,294,0,0,0,0
2024.04.25.,1,1,0,1,0,100,0,3,297,3,297,0,0,0,0
2024.04.26.,1,0,1,1,0,0,100,1,298,1,298,0,0,0,0
2024.04.27.,1,1,0,1,0,100,0,2,300,2,300,0,0,0,0
2024.04.28.,1,0,1,1,0,0,100,2,302,2,302,0,0,0,0
2024.04.29.,2,1,1,2,0,50,50,1,303,1,303,0,0,0,0
2024.04.30.,1,1,0,1,0,100,0,3,306,3,306,0,0,0,0
2024.05.01.,4,1,3,4,0,25,75,2,308,2,308,0,0,0,0
2024.05.02.,3,1,2,3,0,33.33333333333333,66.66666666666666,5,313,5,313,0,0,0,0
2024.05.03.,3,1,2,3,0,33.33333333333333,66.66666666666666,0,313,0,313,0,0,0,0
2024.05.04.,4,1,3,4,0,25,75,3,316,3,316,0,0,0,0
2024.05.05.,4,0,4,4,0,0,100,1,317,1,317,0,0,0,0
2024.05.06.,3,1,2,3,1,33.33333333333333,66.66666666666666,3,320,3,320,0,0,0,0
2024.05.07.,6,1,5,10,1,16.666666666666664,83.33333333333334,2,322,2,322,0,0,0,0
2024.05.08.,5,0,5,5,0,0,100,6,328,6,328,0,0,0,0
2024.05.09.,3,1,2,3,0,33.33333333333333,66.66666666666666,3,331,3,331,0,0,0,0
2024.05.10.,3,0,3,3,0,0,100,2,333,2,333,0,0,0,0
2024.05.11.,3,2,1,5,0,66.66666666666666,33.33333333333333,1,334,1,334,0,0,0,0
2024.05.12.,0,0,0,0,0,0,0,2,336,2,336,0,0,0,0
2024.05.13.,5,1,4,5,0,20,80,5,341,5,341,0,0,0,0
2024.05.14.,1,1,0,1,0,100,0,-1,340,-1,340,0,0,0,0
2024.05.15.,2,0,2,2,0,0,100,3,343,3,343,0,0,0,0
2024.05.16.,1,1,0,4,0,100,0,0,343,0,343,0,0,0,0
2024.05.17.,3,2,1,3,0,66.66666666666666,33.33333333333333,2,345,2,345,0,0,0,0
2024.05.18.,2,0,2,2,0,0,100,3,348,3,348,0,0,0,0
2024.05.19.,3,0,3,3,0,0,100,3,351,3,351,0,0,0,0
2024.05.20.,2,0,2,2,0,0,100,2,353,2,353,0,0,0,0
