기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.09.17.,1,1,0,1,0,100,0,1,59,1,59,0,0,0,0
2023.09.18.,3,1,2,7,2,33.33333333333333,66.66666666666666,1,60,1,60,0,0,0,0
2023.09.19.,1,1,0,1,0,100,0,0,60,0,60,0,0,0,0
2023.09.20.,2,2,0,2,0,100,0,1,61,1,61,0,0,0,0
2023.09.21.,4,2,2,7,1,50,50,0,61,0,61,0,0,0,0
2023.09.22.,2,1,1,2,0,50,50,0,61,0,61,0,0,0,0
2023.09.23.,0,0,0,0,0,0,0,0,61,0,61,0,0,0,0
2023.09.24.,2,1,1,2,0,50,50,0,61,0,61,0,0,0,0
2023.09.25.,2,1,1,3,0,50,50,0,61,0,61,0,0,0,0
2023.09.26.,1,0,1,1,1,0,100,1,62,1,62,0,0,0,0
2023.09.27.,0,0,0,0,0,0,0,0,62,0,62,0,0,0,0
2023.09.28.,0,0,0,0,0,0,0,1,63,1,63,0,0,0,0
2023.09.29.,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0
2023.09.30.,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0
2023.10.01.,1,1,0,1,0,100,0,0,63,0,63,0,0,0,0
2023.10.02.,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0
2023.10.03.,1,1,0,1,0,100,0,0,63,0,63,0,0,0,0
2023.10.04.,4,2,2,4,0,50,50,1,64,1,64,0,0,0,0
2023.10.05.,2,1,1,2,0,50,50,1,65,1,65,0,0,0,0
2023.10.06.,3,2,1,3,0,66.66666666666666,33.33333333333333,0,65,0,65,0,0,0,0
2023.10.07.,2,0,2,4,0,0,100,0,65,0,65,0,0,0,0
2023.10.08.,0,0,0,0,0,0,0,0,65,0,65,0,0,0,0
2023.10.09.,0,0,0,0,0,0,0,0,65,0,65,0,0,0,0
2023.10.10.,1,1,0,1,0,100,0,0,65,0,65,0,0,0,0
2023.10.11.,2,0,2,2,0,0,100,0,65,0,65,0,0,0,0
2023.10.12.,1,0,1,1,0,0,100,1,66,1,66,0,0,0,0
2023.10.13.,0,0,0,0,0,0,0,0,66,0,66,0,0,0,0
2023.10.14.,0,0,0,0,0,0,0,1,67,1,67,0,0,0,0
2023.10.15.,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0
2023.10.16.,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0
2023.10.17.,1,1,0,1,0,100,0,0,67,0,67,0,0,0,0
