기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.06.21.,3,0,3,3,1,0,100,3,402,3,402,0,0,0,0
2024.06.22.,1,0,1,1,0,0,100,0,402,0,402,0,0,0,0
2024.06.23.,5,0,5,6,0,0,100,6,408,6,408,0,0,0,0
2024.06.24.,5,0,5,8,1,0,100,6,414,6,414,0,0,0,0
2024.06.25.,6,1,5,6,0,16.666666666666664,83.33333333333334,2,416,2,416,0,0,0,0
2024.06.26.,2,1,1,2,0,50,50,1,417,1,417,0,0,0,0
2024.06.27.,1,0,1,1,0,0,100,0,417,0,417,0,0,0,0
2024.06.28.,0,0,0,0,0,0,0,2,419,2,419,0,0,0,0
2024.06.29.,1,0,1,1,0,0,100,1,420,1,420,0,0,0,0
2024.06.30.,0,0,0,0,0,0,0,3,423,3,423,0,0,0,0
