기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.03.20.,1,0,1,1,0,0,100,0,235,0,235,0,0,0,0
2024.03.21.,2,0,2,2,0,0,100,1,236,1,236,0,0,0,0
2024.03.22.,1,0,1,1,0,0,100,1,237,1,237,0,0,0,0
2024.03.23.,0,0,0,0,0,0,0,0,237,0,237,0,0,0,0
2024.03.24.,2,0,2,2,0,0,100,0,237,0,237,0,0,0,0
2024.03.25.,1,0,1,1,0,0,100,0,237,0,237,0,0,0,0
2024.03.26.,0,0,0,0,0,0,0,1,238,1,238,0,0,0,0
2024.03.27.,1,0,1,1,0,0,100,1,239,1,239,0,0,0,0
2024.03.28.,3,0,3,3,0,0,100,2,241,2,241,0,0,0,0
2024.03.29.,4,0,4,4,0,0,100,4,245,4,245,0,0,0,0
2024.03.30.,2,1,1,2,0,50,50,3,248,3,248,0,0,0,0
2024.03.31.,1,0,1,1,0,0,100,3,251,3,251,0,0,0,0
2024.04.01.,3,0,3,3,0,0,100,4,255,4,255,0,0,0,0
2024.04.02.,2,0,2,3,0,0,100,2,257,2,257,0,0,0,0
2024.04.03.,2,0,2,2,0,0,100,3,260,3,260,0,0,0,0
2024.04.04.,4,1,3,6,3,25,75,2,262,2,262,0,0,0,0
2024.04.05.,2,2,0,2,0,100,0,2,264,2,264,0,0,0,0
2024.04.06.,1,1,0,1,0,100,0,-1,263,-1,263,0,0,0,0
2024.04.07.,2,0,2,2,0,0,100,1,264,1,264,0,0,0,0
2024.04.08.,5,2,3,6,1,40,60,1,265,1,265,0,0,0,0
2024.04.09.,1,0,1,1,0,0,100,1,266,1,266,0,0,0,0
2024.04.10.,4,0,4,4,0,0,100,3,269,3,269,0,0,0,0
2024.04.11.,2,1,1,2,0,50,50,1,270,1,270,0,0,0,0
2024.04.12.,2,0,2,2,0,0,100,1,271,1,271,0,0,0,0
2024.04.13.,0,0,0,0,0,0,0,0,271,0,271,0,0,0,0
2024.04.14.,1,0,1,1,0,0,100,1,272,1,272,0,0,0,0
2024.04.15.,1,0,1,1,0,0,100,1,273,1,273,0,0,0,0
2024.04.16.,0,0,0,0,0,0,0,0,273,0,273,0,0,0,0
2024.04.17.,5,0,5,5,0,0,100,4,277,4,277,0,0,0,0
2024.04.18.,0,0,0,0,0,0,0,1,278,1,278,0,0,0,0
2024.04.19.,4,1,3,4,0,25,75,4,282,4,282,0,0,0,0
