기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.07.17.,1,1,0,1,0,100,0,0,22,0,22,0,0,0,0
2023.07.18.,0,0,0,0,0,0,0,-1,21,-1,21,0,0,0,0
2023.07.19.,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0
2023.07.20.,2,0,2,2,0,0,100,0,21,0,21,0,0,0,0
2023.07.21.,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0
2023.07.22.,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0
2023.07.23.,1,1,0,1,0,100,0,0,21,0,21,0,0,0,0
2023.07.24.,3,0,3,5,0,0,100,1,22,1,22,0,0,0,0
2023.07.25.,8,1,7,8,0,12.5,87.5,3,25,3,25,0,0,0,0
2023.07.26.,3,0,3,3,0,0,100,1,26,1,26,0,0,0,0
2023.07.27.,2,0,2,2,0,0,100,1,27,1,27,0,0,0,0
2023.07.28.,2,1,1,3,0,50,50,1,28,1,28,0,0,0,0
2023.07.29.,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0
2023.07.30.,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0
2023.07.31.,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0
2023.08.01.,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0
2023.08.02.,6,0,6,6,0,0,100,0,28,0,28,0,0,0,0
2023.08.03.,1,0,1,2,0,0,100,1,29,1,29,0,0,0,0
2023.08.04.,3,0,3,3,0,0,100,3,32,3,32,0,0,0,0
2023.08.05.,1,0,1,1,1,0,100,1,33,1,33,0,0,0,0
2023.08.06.,2,1,1,2,0,50,50,0,33,0,33,0,0,0,0
2023.08.07.,0,0,0,0,0,0,0,1,34,1,34,0,0,0,0
2023.08.08.,1,0,1,1,0,0,100,1,35,1,35,0,0,0,0
2023.08.09.,1,1,0,1,0,100,0,0,35,0,35,0,0,0,0
2023.08.10.,1,0,1,1,0,0,100,0,35,0,35,0,0,0,0
2023.08.11.,4,0,4,4,0,0,100,3,38,3,38,0,0,0,0
2023.08.12.,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0
2023.08.13.,2,1,1,3,0,50,50,0,38,0,38,0,0,0,0
2023.08.14.,1,0,1,1,1,0,100,0,38,0,38,0,0,0,0
2023.08.15.,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0
2023.08.16.,2,1,1,2,0,50,50,1,39,1,39,0,0,0,0
