기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.08.17.,2,0,2,3,0,0,100,3,42,3,42,0,0,0,0
2023.08.18.,2,1,1,3,0,50,50,1,43,1,43,0,0,0,0
2023.08.19.,1,0,1,1,0,0,100,0,43,0,43,0,0,0,0
2023.08.20.,2,1,1,2,0,50,50,0,43,0,43,0,0,0,0
2023.08.21.,0,0,0,0,0,0,0,2,45,2,45,0,0,0,0
2023.08.22.,2,0,2,2,0,0,100,1,46,1,46,0,0,0,0
2023.08.23.,2,1,1,2,0,50,50,0,46,0,46,0,0,0,0
2023.08.24.,4,0,4,4,0,0,100,1,47,1,47,0,0,0,0
2023.08.25.,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0
2023.08.26.,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0
2023.08.27.,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0
2023.08.28.,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0
2023.08.29.,0,0,0,0,0,0,0,2,49,2,49,0,0,0,0
2023.08.30.,3,1,2,3,0,33.33333333333333,66.66666666666666,1,50,1,50,0,0,0,0
2023.08.31.,2,1,1,2,0,50,50,0,50,0,50,0,0,0,0
2023.09.01.,3,0,3,3,0,0,100,2,52,2,52,0,0,0,0
2023.09.02.,2,1,1,3,0,50,50,1,53,1,53,0,0,0,0
2023.09.03.,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0
2023.09.04.,2,0,2,2,0,0,100,1,54,1,54,0,0,0,0
2023.09.05.,2,1,1,2,0,50,50,0,54,0,54,0,0,0,0
2023.09.06.,3,1,2,4,1,33.33333333333333,66.66666666666666,1,55,1,55,0,0,0,0
2023.09.07.,0,0,0,0,0,0,0,1,56,1,56,0,0,0,0
2023.09.08.,4,2,2,4,0,50,50,0,56,0,56,0,0,0,0
2023.09.09.,1,0,1,2,1,0,100,1,57,1,57,0,0,0,0
2023.09.10.,3,1,2,3,0,33.33333333333333,66.66666666666666,-1,56,-1,56,0,0,0,0
2023.09.11.,3,2,1,3,0,66.66666666666666,33.33333333333333,1,57,1,57,0,0,0,0
2023.09.12.,1,1,0,1,0,100,0,0,57,0,57,0,0,0,0
2023.09.13.,1,1,0,2,0,100,0,0,57,0,57,0,0,0,0
2023.09.14.,2,1,1,2,0,50,50,0,57,0,57,0,0,0,0
2023.09.15.,1,0,1,1,0,0,100,1,58,1,58,0,0,0,0
2023.09.16.,2,1,1,11,0,50,50,0,58,0,58,0,0,0,0
