기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.12.19.,1,0,1,1,0,0,100,0,86,0,86,0,0,0,0
2023.12.20.,2,1,1,2,0,50,50,3,89,3,89,0,0,0,0
2023.12.21.,4,1,3,4,1,25,75,1,90,1,90,0,0,0,0
2023.12.22.,2,0,2,2,0,0,100,1,91,1,91,0,0,0,0
2023.12.23.,2,0,2,2,0,0,100,1,92,1,92,0,0,0,0
2023.12.24.,1,1,0,1,0,100,0,0,92,0,92,0,0,0,0
2023.12.25.,2,1,1,2,0,50,50,0,92,0,92,0,0,0,0
2023.12.26.,4,0,4,4,0,0,100,0,92,0,92,0,0,0,0
2023.12.27.,2,0,2,2,0,0,100,0,92,0,92,0,0,0,0
2023.12.28.,3,2,1,3,1,66.66666666666666,33.33333333333333,0,92,0,92,0,0,0,0
2023.12.29.,2,1,1,2,0,50,50,0,92,0,92,0,0,0,0
2023.12.30.,0,0,0,0,0,0,0,0,92,0,92,0,0,0,0
2023.12.31.,0,0,0,0,0,0,0,0,92,0,92,0,0,0,0
2024.01.01.,0,0,0,0,0,0,0,0,92,0,92,0,0,0,0
2024.01.02.,0,0,0,0,0,0,0,0,92,0,92,0,0,0,0
2024.01.03.,3,0,3,3,0,0,100,0,92,0,92,0,0,0,0
2024.01.04.,3,1,2,3,0,33.33333333333333,66.66666666666666,1,93,1,93,0,0,0,0
2024.01.05.,1,0,1,1,0,0,100,0,93,0,93,0,0,0,0
2024.01.06.,2,0,2,2,0,0,100,0,93,0,93,0,0,0,0
2024.01.07.,0,0,0,0,0,0,0,0,93,0,93,0,0,0,0
2024.01.08.,7,3,4,9,1,42.857142857142854,57.14285714285714,0,93,0,93,0,0,0,0
2024.01.09.,4,1,3,4,0,25,75,2,95,2,95,0,0,0,0
2024.01.10.,4,1,3,4,0,25,75,3,98,3,98,0,0,0,0
2024.01.11.,4,1,3,4,0,25,75,3,101,3,101,0,0,0,0
2024.01.12.,1,0,1,1,0,0,100,1,102,1,102,0,0,0,0
2024.01.13.,0,0,0,0,0,0,0,0,102,0,102,0,0,0,0
2024.01.14.,3,1,2,3,1,33.33333333333333,66.66666666666666,2,104,2,104,0,0,0,0
2024.01.15.,5,1,4,6,0,20,80,2,106,2,106,0,0,0,0
2024.01.16.,0,0,0,0,0,0,0,0,106,0,106,0,0,0,0
2024.01.17.,3,0,3,3,0,0,100,2,108,2,108,0,0,0,0
2024.01.18.,3,1,2,3,0,33.33333333333333,66.66666666666666,2,110,2,110,0,0,0,0
