기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.01.19.,3,1,2,4,0,33.33333333333333,66.66666666666666,3,113,3,113,0,0,0,0
2024.01.20.,3,1,2,3,0,33.33333333333333,66.66666666666666,3,116,3,116,0,0,0,0
2024.01.21.,2,0,2,2,0,0,100,2,118,2,118,0,0,0,0
2024.01.22.,5,2,3,5,0,40,60,4,122,4,122,0,0,0,0
2024.01.23.,3,0,3,3,0,0,100,2,124,2,124,0,0,0,0
2024.01.24.,5,1,4,5,0,20,80,5,129,5,129,0,0,0,0
2024.01.25.,3,1,2,3,0,33.33333333333333,66.66666666666666,6,135,6,135,0,0,0,0
2024.01.26.,2,0,2,2,0,0,100,1,136,1,136,0,0,0,0
2024.01.27.,1,0,1,1,0,0,100,0,136,0,136,0,0,0,0
2024.01.28.,3,0,3,3,2,0,100,2,138,2,138,0,0,0,0
2024.01.29.,6,4,2,6,0,66.66666666666666,33.33333333333333,3,141,3,141,0,0,0,0
2024.01.30.,4,1,3,4,0,25,75,3,144,3,144,0,0,0,0
2024.01.31.,3,1,2,4,0,33.33333333333333,66.66666666666666,3,147,3,147,0,0,0,0
2024.02.01.,11,4,7,20,4,36.36363636363637,63.63636363636363,5,152,5,152,0,0,0,0
2024.02.02.,8,3,5,11,0,37.5,62.5,2,154,2,154,0,0,0,0
2024.02.03.,4,2,2,4,1,50,50,2,156,2,156,0,0,0,0
2024.02.04.,1,0,1,1,0,0,100,1,157,1,157,0,0,0,0
2024.02.05.,5,0,5,5,0,0,100,3,160,3,160,0,0,0,0
2024.02.06.,2,0,2,2,0,0,100,0,160,0,160,0,0,0,0
2024.02.07.,4,1,3,4,0,25,75,6,166,6,166,0,0,0,0
2024.02.08.,0,0,0,0,0,0,0,0,166,0,166,0,0,0,0
2024.02.09.,0,0,0,0,0,0,0,0,166,0,166,0,0,0,0
2024.02.10.,2,2,0,2,0,100,0,1,167,1,167,0,0,0,0
2024.02.11.,0,0,0,0,0,0,0,3,170,3,170,0,0,0,0
2024.02.12.,0,0,0,0,0,0,0,2,172,2,172,0,0,0,0
2024.02.13.,4,1,3,5,0,25,75,2,174,2,174,0,0,0,0
2024.02.14.,2,2,0,2,1,100,0,2,176,2,176,0,0,0,0
2024.02.15.,0,0,0,0,0,0,0,0,176,0,176,0,0,0,0
2024.02.16.,1,1,0,1,0,100,0,0,176,0,176,0,0,0,0
2024.02.17.,0,0,0,0,0,0,0,0,176,0,176,0,0,0,0
2024.02.18.,3,0,3,3,0,0,100,2,178,2,178,0,0,0,0
