채널명,유입수,결제금액(+14일기여도추정),결제수(+14일기여도추정),유입당_결제율,유입당_결제금액
구글검색,8,0,0.0,0.0,0.0
기타채널,5,0,0.0,0.0,0.0
네이버 모바일메인,207,995517,7.787181510357186,3.7619234349551625,4809.260869565217
네이버 블로그,94,900000,8.511028036475182,9.054285145186364,9574.468085106382
네이버 사이트검색광고,1506,5061244,49.7727571540745,3.3049639544538176,3360.7197875166003
네이버 성과형디스플레이광고,71,0,0.0,0.0,0.0
네이버 쇼핑검색광고,6463,37061695,182.52088215749245,2.8240891560806505,5734.441435865697
네이버검색,595,4357853,50.38697817560751,8.468399693379414,7324.122689075631
네이버모바일메인-쇼핑,5,0,0.0,0.0,0.0
네이버쇼핑-검색,236,1863240,18.651889923668932,7.9033431879953095,7895.0847457627115
네이버쇼핑-서비스,320,4615451,26.518124485388398,8.286913901683874,14423.284375
네이버쇼핑-통합검색,535,3321126,30.635549874044955,5.726271004494384,6207.71214953271
네이버톡톡,240,7979697,40.38631404400803,16.827630851670015,33248.7375
네이버페이,984,0,0.0,0.0,0.0
사용자정의,27,65796,1.6371213608654216,6.06341244764971,2436.8888888888887
웹사이트,310,3302910,33.04280414362438,10.658969078588509,10654.548387096775
유튜브,14,0,0.0,0.0,0.0
인스타그램,45,7241,0.14776585157960653,0.32836855906579226,160.9111111111111
