날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2023-11-10,18시,일반배송,0,0,0,0,,3,0,,2.3269868827160494,0,0.0
2023-11-09,17시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2023-11-08,09시,일반배송,2,62000,0,0,,0,0,,0.0,0,
2023-11-08,11시,일반배송,0,0,0,0,,1,0,,1.7012962962962963,1,1.0
2023-11-08,20시,일반배송,0,0,0,0,,1,0,,2.209212962962963,0,0.0
2023-11-07,14시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-11-07,16시,일반배송,0,0,0,0,,2,0,,1.788287037037037,2,1.0
2023-11-06,18시,일반배송,2,196000,0,0,,0,0,,0.0,0,
2023-11-06,15시,일반배송,1,32000,0,0,,0,0,,0.0,0,
2023-11-06,19시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-11-04,15시,일반배송,1,28000,0,0,,0,0,,0.0,0,
2023-11-04,16시,일반배송,0,0,0,0,,1,0,,1.915902777777778,1,1.0
2023-11-03,19시,일반배송,1,64000,0,0,,0,0,,0.0,0,
2023-11-03,16시,일반배송,0,0,0,0,,1,0,,1.9681944444444444,1,1.0
2023-11-03,18시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-11-02,02시,일반배송,1,323400,0,0,,0,0,,0.0,0,
2023-11-02,16시,일반배송,0,0,1,1,1.0,4,0,,2.6922685185185187,0,0.0
2023-11-02,18시,일반배송,0,0,0,0,,1,0,,10.981180555555556,0,0.0
2023-11-01,17시,일반배송,1,35000,0,0,,0,0,,0.0,0,
2023-11-01,15시,일반배송,0,0,5,4,0.8,0,0,,0.0,0,
2023-10-31,23시,일반배송,0,0,0,0,,1,0,,1.9651504629629628,1,1.0
2023-10-30,23시,일반배송,4,79000,0,0,,0,0,,0.0,0,
2023-10-30,14시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-10-28,23시,일반배송,1,40000,0,0,,0,0,,0.0,0,
2023-10-25,13시,일반배송,0,0,0,0,,1,0,,1.8385532407407406,1,1.0
