,매장명,위도,경도,매장타입,주소,전화번호
357,등촌역,37.548884,126.86807,pin_general,서울특별시 양천구 공항대로 566 (목동) 1층 2층,1522-3232
358,목동행복한,37.529147,126.876099,pin_general,서울특별시 양천구 목동동로 309 (목동),1522-3232
359,신정DT,37.521993,126.858865,pin_generalDT,서울특별시 양천구 신월로 341 (신정동),1522-3232
360,목동역,37.526684,126.863986,pin_general,서울특별시 양천구 목동로 203 (신정동) 1층일부,1522-3232
361,목동오목로,37.525923,126.868438,pin_general,"서울특별시 양천구 오목로 279 (목동) 102,103,104,105호",1522-3232
362,목동8단지,37.520518,126.868841,pin_general,서울특별시 양천구 목동서로 299 (신정동),1522-3232
363,오목교역,37.5235882,126.87652120000007,pin_general,서울특별시 양천구 오목로 354 (목동),1522-3232
364,신월IC DT,37.5294984,126.831983,pin_generalDT,서울특별시 양천구 남부순환로 430 (신월동),1522-3232
365,목동7단지,37.528012,126.87053,pin_general,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자,1522-3232
366,목동5단지,37.536706,126.88212,pin_general,"서울특별시 양천구 목동동로 411, 1동 116호(목동, 부영그린타운3차)",1522-3232
367,목동,37.53638383,126.8785597,pin_general,서울특별시 양천구 목동서로 67 (목동) 우성에펠타운,1522-3232
368,현대목동,37.526848,126.875023,pin_general,"서울특별시 양천구 목동동로 257 (목동, 현대하이페리온) 지하2층",1522-3232
369,목동SBS,37.52896162444895,126.87363009594163,pin_general,"서울특별시 양천구 목동서로 161 (목동), 1/2층 일부",1522-3232
370,목동트라팰리스,37.5255,126.8702,pin_general,서울특별시 양천구 오목로 299 (목동),1522-3232
371,목동10단지,37.515425616177,126.859603067999,pin_general,"서울특별시 양천구 목동서로 401 (신정동, 대림아크로빌), 상가A동 101,101-1호",1522-3232
372,신월동DT,37.5382923530559,126.827101409243,pin_generalDT,서울특별시 양천구 남부순환로 319 (신월동),1522-3232
373,타임스퀘어R,37.51755,126.90516,pin_reserve,서울특별시 영등포구 영중로 15 지하 1층 (영등포동4가),1522-3232
374,샛강역,37.5183551,126.9312716,pin_general,서울특별시 영등포구 여의대방로 376 (여의도동),1522-3232
375,영등포역,37.5169614,126.9091390,pin_general,서울특별시 영등포구 경인로 870 (영등포동1가),1522-3232
