Review
크기는 작지만 포장ㆍ구성이 고급져요 받으시는분들이 넘좋아하셔서 기분이 좋았어요 쇼핑백이 왜비싼가했는데 튼튼하고 좋은거여서 선택하길 잘한거같아요 답례품으로 아주 성공적이었어요 배송도 잘해주시고 꼼꼼한검수 부탁드렸는데 불량한개도없어서 만족했습니다 스티커문구제작 서비스 넘았어요
정말 받기전까진 잘 몰랐는데 너무 예쁘고 답례품으로 하기 좋네요 추천합니다배송전에 이것저것 고민하고 문의도 많이 했는데 친절하게 다 답변해주시고 배송도 하루만에 왔네요진짜 만족합니다
가족식사자리 답례품으로 사용하려고 미리 주문하였습니다 포장도 꼼꼼하고 디자인도이쁘고 상담도 친절하게 해주셨습니다다음에 또 주문할께요쇼핑백추가 너무 잘한것같아요감사합니다
이사가면서 공사소음으로 고생하시는 이웃분들께 돌리려고 샀어요 판매자님 매우 빠르게 보내주셔서 잘 전달할 수 있었습니다 쇼핑백은 여기 판매하지 않아서 저희가 다이소가서 어울리는걸로 따로 구매했어요
두찌 돌잔치에 잘 썼어요인원을 몇안해서 50개만 맞췄는데봉투만하고 못오신분들까지 드리니몇개안남아요ㅎㅎ넉넉히 주문 잘한듯요깨진거 있나없나 확인하려고 집으로 배송시켰는데 포장도 꼼꼼하고깨진거 없이 잘 와서바로 행사장에 가져다 두고 행사잘 치르고 답례품도 잘 드리고잘 마쳤습니다답례품이고급스럽다보니 많이 만족하시더라구요감사드려요
결혼 답례품으로 돌렸습니다 살짝 비싼 것 같기도 하지만 받으신 분들이 전부 고급스럽다고 좋아해주셔서 뿌듯했습니다 감사합니다 사업 번창하세요ㅎㅎ
결혼 답례품으로 돌렸습니다 살짝 비싼 것 같기도 하지만 받으신 분들이 전부 고급스럽다고 좋아해주셔서 뿌듯했습니다 감사합니다 사업 번창하세요ㅎㅎ
박스에 딱 맞게 포장해주셔서제품 손상없이 물건 잘 받았습니다좋습니다 담례품으로 너무 좋은 것 같아요
디자인 신경 쓴 듯한 포장과  답례 스티커가 답례품으로 하기 정말 좋게 나왔어요결혼식 후 양가 지인에게 총 200개 돌렸는데 다들 가격 대비 비싸게 봐주시더라구여무게감이 있다보니 답례가 고급져 보입니다맛저도 집에서 잘 먹고 있어서 한통을 거의 다 먹어갑니다떡 구워 먹을때 요거트 먹을때 함께 하기 정말 좋고 적당히 달달해서 되게 맛있습니다배송주문 당일에 시안 보내주시고 그 다음날 바로 배송이 시작되었어요시간을 촉박하게 시켰는데 빨리 왔고 잘 포장되어 와서 수고를 덜었어요답례품으로 찐 추천드립니다
선물했을때 반응이 좋았어요  답례품으로 적극 추천합니다
일자 딱 맞춰서 왔고 스티커 부착서비스 넘 편해서 좋았습니다
포장 디자인 구성 가격 배송 어느것하나빠질게 없음 가성비 최고
고급스러워 보여서 넘 좋아요 의미 잇는 답례품 주문 했어용
제품도 포장도 너무 만족스럽습니다 고급 답례품이나 선물용으로 딱입니다 대량 주문 전 직접 확인해볼수 있게 샘플 판매하시는 것도 정말 좋았구요ㅎㅎ 곧 본품 주문하러 다시 오겠습니다 감사합니다
배송도 빠르고 포장도 너무 예뻐요  직장에 돌렸는데 반응 좋았습니다
깔끔하고 마음에들어요
고객선물용 입니다 꿀도 맛있고 디자인도 예쁘고 만족도가높네요가성비도 좋아요
추가로 더 사고 남은건 저희가 아침마다 꿀차 해먹고 있어요 다양하게 해먹을 수 있어서 너무 좋고 맛있어용
스티커도 붙여주고 꿀도 너무 맛있어용 ㅎㅎ 전달해드린 선생님들도 다 너무 좋아하세요 ㅎㅎ
이상없이 배달완료 시안도 먼저보내주시고최종확인후 걱정없이 제작됩니다이번주돌잔치 잘하고 답례품도 잘사용하겠습니다
포장도 깔끔하고 가격대비 훨씬 고급스러워 보여서 매우 좋습니다
우선 배송은 정말 빨랐어요 근데 생각보다 많이 작네용ㅜㅜ
만족해요 비싸 보여서 조흔 ㅎㅎ 달달해요
돌잔치때 만족하는 답럐품 추천합니다
봉투까지 구매했는ㄷㅔ 디피할때 부피차지많이된다고 그래서 괜히 샀다싶었어여ㅎㅎ엄청남았습니다 답례품만할걸그랬네용 그래도 답례품은 만족스러워요
답례품으로 많이 나오는 미니꿀보다 이게 훨씬 나은것같아요 받는사람들에게도 활용도가 높을것같아요 빨리 보내주셔서 감사합니다
받는 사람들이 다들 좋아하셔서 꿀로 선택 잘한듯포장이랑 스티커까지 100프로 완제품이라 돌리기만하면되서 편했어요
받는 사람들이 다들 좋아하셔서 꿀로 선택 잘한듯포장이랑 스티커까지 100프로 완제품이라 돌리기만하면되서 편했어요
받는 사람들이 다들 좋아하셔서 꿀로 선택 잘한듯포장이랑 스티커까지 100프로 완제품이라 돌리기만하면되서 편했어요
덕분에 돌잔치 잘끝내고 다들 맘에 들어해서 뿌듯합니다 감사합니다
고급스럽고 할인해주시니 가성비도 아주좋아요받은분들이 아주좋아합니다
40개 주문했는데 빠르게 하루만에 배송해주시고 출근하는날에 같이 가져갈수있어서 좋았어요정신없는 와중에 톡으로 메세지 주고 받는데 너무 친절하셔서 감사했습니다ㅎㅎ잘 챙겨주셔서 덕분에 답례품으로 잘 전달했어요
포장도 너무 예쁘고 받으신 분들이 정말 마음에 들어하셨어요ㅎㅎ 쇼핑백 하길 잘한 것 같아요
