SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20482,1,세종축제,문화공연,축제,1778,30840,32618,20231007
20483,2,횡성한우축제,문화공연,축제,906,18135,19041,20231007
20484,3,수원화성문화제,문화공연,축제,1117,16626,17743,20231007
20485,4,금산인삼축제,문화공연,축제,850,15737,16587,20231007
20486,5,서산해미읍성축제,문화공연,축제,612,11779,12391,20231007
20487,6,군산시간여행축제,문화공연,축제,677,11404,12081,20231007
20488,7,청원생명축제,문화공연,축제,439,10948,11387,20231007
20489,8,전주비빔밥축제,문화공연,축제,542,9974,10516,20231007
20490,9,김제지평선축제,문화공연,축제,568,9049,9617,20231007
20491,10,안성맞춤남사당바우덕이축제,문화공연,축제,394,7964,8358,20231007
