SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20472,1,세종축제,문화공연,축제,3837,22147,25984,20231006
20473,2,횡성한우축제,문화공연,축제,2465,14504,16969,20231006
20474,3,금산인삼축제,문화공연,축제,1692,12039,13731,20231006
20475,4,군산시간여행축제,문화공연,축제,1920,9603,11523,20231006
20476,5,서산해미읍성축제,문화공연,축제,1684,8028,9712,20231006
20477,6,청원생명축제,문화공연,축제,1306,8392,9698,20231006
20478,7,전주비빔밥축제,문화공연,축제,1218,7211,8429,20231006
20479,8,김제지평선축제,문화공연,축제,1343,5726,7069,20231006
20480,9,보은대추축제,문화공연,축제,567,6139,6706,20231006
20481,10,강남페스티벌,문화공연,축제,1283,4857,6140,20231006
