SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20462,1,금산인삼축제,문화공연,축제,1133,6787,7920,20231005
20463,2,횡성한우축제,문화공연,축제,1372,6000,7372,20231005
20464,3,김제지평선축제,문화공연,축제,1394,5552,6946,20231005
20465,4,세종축제,문화공연,축제,1246,5588,6834,20231005
20466,5,강남페스티벌,문화공연,축제,1391,5128,6519,20231005
20467,6,부산자갈치축제,문화공연,축제,1197,4812,6009,20231005
20468,7,천안흥타령춤축제,문화공연,축제,987,4815,5802,20231005
20469,8,보은대추축제,문화공연,축제,505,4798,5303,20231005
20470,9,청원생명축제,문화공연,축제,774,3479,4253,20231005
20471,10,무창포대하전어축제,문화공연,축제,789,2874,3663,20231005
