SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20422,1,서울거리예술축제,문화공연,축제,593,9927,10520,20231001
20423,2,백제문화제,문화공연,축제,275,9041,9316,20231001
20424,3,무창포대하전어축제,문화공연,축제,332,5809,6141,20231001
20425,4,평창백일홍축제,문화공연,축제,131,5247,5378,20231001
20426,5,인제가을꽃축제,문화공연,축제,165,3977,4142,20231001
20427,6,보은대추축제,문화공연,축제,118,3806,3924,20231001
20428,7,금산인삼축제,문화공연,축제,111,3519,3630,20231001
20429,8,홍성남당항대하축제,문화공연,축제,150,3384,3534,20231001
20430,9,횡성한우축제,문화공연,축제,147,2896,3043,20231001
20431,10,구리코스모스축제,문화공연,축제,74,2601,2675,20231001
