SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20392,1,백제문화제,문화공연,축제,198,6379,6577,20230928
20393,2,평창백일홍축제,문화공연,축제,206,4776,4982,20230928
20394,3,무창포대하전어축제,문화공연,축제,306,4305,4611,20230928
20395,4,인제가을꽃축제,문화공연,축제,122,2291,2413,20230928
20396,5,서울거리예술축제,문화공연,축제,258,1972,2230,20230928
20397,6,홍성남당항대하축제,문화공연,축제,131,2011,2142,20230928
20398,7,금산인삼축제,문화공연,축제,74,1780,1854,20230928
20399,8,횡성한우축제,문화공연,축제,82,1650,1732,20230928
20400,9,보은대추축제,문화공연,축제,55,1657,1712,20230928
20401,10,소래포구축제,문화공연,축제,35,1062,1097,20230928
