SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20412,1,서울거리예술축제,문화공연,축제,763,10834,11597,20230930
20413,2,백제문화제,문화공연,축제,330,9788,10118,20230930
20414,3,평창백일홍축제,문화공연,축제,238,7872,8110,20230930
20415,4,무창포대하전어축제,문화공연,축제,317,5699,6016,20230930
20416,5,인제가을꽃축제,문화공연,축제,186,4591,4777,20230930
20417,6,홍성남당항대하축제,문화공연,축제,178,3512,3690,20230930
20418,7,보은대추축제,문화공연,축제,97,3134,3231,20230930
20419,8,금산인삼축제,문화공연,축제,88,2960,3048,20230930
20420,9,횡성한우축제,문화공연,축제,122,2550,2672,20230930
20421,10,구리코스모스축제,문화공연,축제,47,1802,1849,20230930
