SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20452,1,금산인삼축제,문화공연,축제,1077,5728,6805,20231004
20453,2,횡성한우축제,문화공연,축제,1107,4440,5547,20231004
20454,3,세종축제,문화공연,축제,1119,3833,4952,20231004
20455,4,보은대추축제,문화공연,축제,453,4405,4858,20231004
20456,5,무창포대하전어축제,문화공연,축제,815,3129,3944,20231004
20457,6,장미꽃필무렵,문화공연,축제,503,3388,3891,20231004
20458,7,김제지평선축제,문화공연,축제,755,2439,3194,20231004
20459,8,백제문화제,문화공연,축제,551,2518,3069,20231004
20460,9,양양송이축제,문화공연,축제,287,2661,2948,20231004
20461,10,청원생명축제,문화공연,축제,650,2235,2885,20231004
