SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20432,1,백제문화제,문화공연,축제,335,7180,7515,20231002
20433,2,금산인삼축제,문화공연,축제,340,5321,5661,20231002
20434,3,무창포대하전어축제,문화공연,축제,336,5023,5359,20231002
20435,4,보은대추축제,문화공연,축제,128,4502,4630,20231002
20436,5,횡성한우축제,문화공연,축제,225,3507,3732,20231002
20437,6,홍성남당항대하축제,문화공연,축제,218,3066,3284,20231002
20438,7,인제가을꽃축제,문화공연,축제,176,3074,3250,20231002
20439,8,구리코스모스축제,문화공연,축제,109,2404,2513,20231002
20440,9,세종축제,문화공연,축제,160,2309,2469,20231002
20441,10,김제지평선축제,문화공연,축제,175,1998,2173,20231002
