SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20402,1,서울거리예술축제,문화공연,축제,804,11844,12648,20230929
20403,2,백제문화제,문화공연,축제,169,9341,9510,20230929
20404,3,평창백일홍축제,문화공연,축제,207,6607,6814,20230929
20405,4,무창포대하전어축제,문화공연,축제,214,4326,4540,20230929
20406,5,인제가을꽃축제,문화공연,축제,128,3508,3636,20230929
20407,6,홍성남당항대하축제,문화공연,축제,160,2854,3014,20230929
20408,7,보은대추축제,문화공연,축제,65,2594,2659,20230929
20409,8,금산인삼축제,문화공연,축제,65,2492,2557,20230929
20410,9,횡성한우축제,문화공연,축제,95,2096,2191,20230929
20411,10,구리코스모스축제,문화공연,축제,24,1718,1742,20230929
