ID,Commet,words2
tastyland_jieuny,#협찬  안양일번가점부터 정말 자주 갔던 금별맥주가 광명역에도 있어서 얼마전 방문했어요  🎈토마토해장파스탕 매콤한 맛이 일품에 안에는 각종 해산물이 그득하게 들어있어 안주로 기가막혀요👍🏻 끓일수록 더 맛있어지는 메뉴!!  🎈바지락술찜 소주 안주로는 술찜이 최고죠! 바지락 하나씩 꺼내 먹는 재미도 쏠쏠 국물은 버터 때문에 고소한 풍미가 좋아요☺️  #협찬 #금별맥주광명KTX점 #광명맥주 #광명술집 #광명역맥주 #광명역술집 #일직동맥주 #일직동술집 #광명맛집,"['양일', '번가', '정말', '자주', '맥주', '광명역', '얼마', '방문', '토마토', '해장', '파스', '매콤', '일품', '각종', '해산물', '안주', '메뉴', '바지락', '술찜', '소주', '안주', '술찜', '최고', '바지락', '하나', '재미', '쏠쏠', '국물', '버터', '때문', '미가']"
tastyland_jieuny,"여의도 한우 끝판왕 #소울한우 전직원 모두 친절하셔서 기분 좋게 식사하고왔어요 한우 퀄리티는 말해 뭐해💛  🏷️ 전좌석 룸 🏷️ 504시간 숙성의 최고급 소고기 🏷️ 최상급 랍스터, 해산물 🏷️ 와인 콜기지 프리 🏷️ 점심 특선 메뉴 🏷️ 다양한 종류의 솥밥 🏷️ 흡연실 구비","['여의도', '한우', '끝판', '직원', '모두', '기분', '식사', '한우', '퀄리티', '좌석', '숙성', '최고급', '소고기', '최상급', '랍스터', '해산물', '와인', '기지', '프리', '점심', '특선', '메뉴', '종류', '솥밥', '흡연실', '구비']"
umuk_umuk,ㅋ ㅑ ㅎㅎㅎㅎ 마블링 😍 난리나요,"['마블링', '난리']"
tastyland_jieuny,#여의도맛집 #여의도룸식당 #여의도한우 #여의도회식장소 #여의도고기집 #여의도데이트 #여의도소개팅 #소울한우여의도점 #여의도다이닝 #여의도회식,
